Date_YMD,TT
2020-04-01,9
2022-04-01,83
2021-04-01,468
2020-08-01,854
2022-08-01,34
2021-08-01,424
2020-12-01,501
2021-12-01,477
2022-02-01,1733
2021-02-01,94
2022-01-01,284
2021-01-01,237
2020-07-01,438
2022-07-01,29
2021-07-01,857
2020-06-01,201
2022-06-01,5
2021-06-01,3205
2022-03-01,223
2021-03-01,92
2020-05-01,77
2022-05-01,26
2021-05-01,3685
2020-11-01,491
2021-11-01,443
2020-10-01,1099
2021-10-01,233
2020-09-01,1027
2022-09-01,21
2021-09-01,507
2020-04-02,14
2022-04-02,81
2021-04-02,713
2020-08-02,760
2022-08-02,47
2021-08-02,420
2020-12-02,526
2021-12-02,391
2022-02-02,1008
2021-02-02,113
2022-01-02,123
2021-01-02,216
2020-07-02,378
2022-07-02,31
2021-07-02,737
2020-06-02,222
2022-06-02,10
2021-06-02,2898
2022-03-02,142
2021-03-02,98
2020-05-02,92
2022-05-02,20
2021-05-02,3423
2020-11-02,498
2021-11-02,311
2020-10-02,1068
2021-10-02,242
2020-09-02,1026
2021-09-02,355
2020-04-03,14
2022-04-03,13
2021-04-03,514
2020-08-03,806
2022-08-03,53
2021-08-03,561
2020-12-03,541
2021-12-03,415
2022-02-03,1072
2021-02-03,107
2022-01-03,124
2021-01-03,215
2020-07-03,444
2022-07-03,24
2021-07-03,950
2020-06-03,259
2022-06-03,26
2021-06-03,2717
2022-03-03,201
2021-03-03,87
2020-05-03,140
2022-05-03,31
2021-05-03,3439
2020-11-03,510
2021-11-03,461
2020-10-03,937
2021-10-03,182
2020-09-03,1083
2021-09-03,342
2020-04-04,13
2022-04-04,58
2021-04-04,477
2020-08-04,849
2022-08-04,70
2021-08-04,532
2020-12-04,511
2021-12-04,2796
2022-02-04,1059
2021-02-04,120
2022-01-04,534
2021-01-04,200
2020-07-04,611
2022-07-04,19
2021-07-04,725
2020-06-04,274
2022-06-04,15
2021-06-04,3372
2022-03-04,289
2021-03-04,113
2020-05-04,103
2022-05-04,55
2021-05-04,3786
2020-11-04,707
2021-11-04,221
2020-10-04,903
2021-10-04,263
2020-09-04,1066
2021-09-04,309
2020-04-05,22
2022-04-05,71
2021-04-05,446
2020-08-05,919
2022-08-05,49
2021-08-05,465
2020-12-05,482
2021-12-05,211
2022-02-05,865
2021-02-05,95
2022-01-05,325
2021-01-05,265
2020-07-05,421
2022-07-05,28
2021-07-05,552
2020-06-05,286
2022-06-05,9
2021-06-05,2682
2022-03-05,158
2021-03-05,109
2020-05-05,128
2022-05-05,27
2021-05-05,3979
2020-11-05,672
2021-11-05,392
2020-10-05,886
2021-10-05,276
2020-09-05,1044
2021-09-05,218
2020-04-06,16
2022-04-06,43
2021-04-06,630
2020-08-06,899
2022-08-06,40
2021-08-06,616
2020-12-06,390
2021-12-06,220
2022-02-06,895
2021-02-06,75
2022-01-06,302
2021-01-06,222
2020-07-06,473
2022-07-06,35
2021-07-06,930
2020-06-06,297
2022-06-06,7
2021-06-06,2444
2022-03-06,66
2021-03-06,100
2020-05-06,91
2022-05-06,22
2021-05-06,3923
2020-11-06,577
2021-11-06,526
2020-10-06,990
2021-10-06,316
2020-09-06,1005
2021-09-06,290
2020-04-07,27
2022-04-07,43
2021-04-07,684
2020-08-07,936
2022-08-07,41
2021-08-07,491
2020-12-07,386
